a;b;c
5679.11; 5841.25; 6931.51
1121.00; 794.21; 1167.77
-2664.76; -2527.21; -2368.87
-6854.12; -6650.53; -6571.36
3234.27; 2355.48; 2434.65
5463.74; 5181.72; 5419.23
198.73; 233.37; 212.74
-2113.48; -1675.35; -1334.23
-6455.31; -6325.57; -6155.01
3028.31; 3133.75; 3304.31
5514.68; 6141.19; 6652.87
542.11; 330.57; 541.97
-3576.17; -3773.61; -4570.36
-6686.89; -6582.43; -6980.81
895.58; 1676.10; 1277.72
5124.57; 5039.96; 3844.83
-1249.99; -771.91; -1130.87
-2445.78; -2376.95; -1975.43
-6455.27; -6313.22; -6112.46
3357.31; 2803.83; 3004.58
5771.60; 6141.00; 6743.28
690.05; 489.02; 639.20
-2101.59; -1965.45; -1242.01
-5903.63; -5862.19; -5500.47
3768.34; 3046.01; 3407.74
5437.23; 6085.48; 7170.64
1175.71; 726.45; 1063.25
-2648.61; -3172.04; -3460.60
-6687.46; -6988.21; -7132.49
2195.62; 2135.60; 1991.32
5743.62; 4836.26; 4403.43
-414.49; -275.78; -351.16
-2754.40; -2383.43; -2415.37
-6957.36; -6125.95; -6141.92
2305.61; 2078.95; 2062.98
5913.08; 5894.11; 5846.20
-60.41; -109.12; -15.63
-1672.66; -1390.55; -154.66
-5790.45; -5558.97; -4941.03
4742.18; 3915.35; 4533.29
6366.38; 6353.77; 8207.59
1787.26; 1168.55; 1787.03
-2814.57; -2375.29; -2615.50
-7116.80; -6297.88; -6417.99
2609.12; 2339.61; 2219.51
5630.54; 5333.32; 4973.00
-411.57; -270.24; -328.41
-2623.16; -2938.87; -3168.52
-6710.56; -6118.25; -6233.08
1902.41; 2741.47; 2626.65
5718.36; 5190.18; 4845.70
-320.73; -243.69; -368.89
-1828.22; -1625.09; -960.84
-6353.03; -6083.19; -5751.06
3162.97; 2845.60; 3177.73
6247.76; 5996.80; 6993.17
951.15; 652.66; 1006.46
-1261.42; -1619.19; -655.92
-6459.68; -5647.92; -5166.29
3922.74; 3029.61; 3511.25
5795.14; 6693.43; 8138.33
1374.35; 1017.10; 1360.25
-2844.44; -2742.52; -3348.87
-7174.55; -7215.09; -7518.26
1983.47; 1459.76; 1156.58
5380.64; 5241.65; 4332.13
-893.53; -624.91; -948.70
-2269.25; -3103.96; -3260.41
-6765.51; -7036.79; -7115.02
2451.52; 2358.14; 2279.91
5619.57; 5808.27; 5573.59
-329.58; -132.80; -274.74
-2350.52; -2026.64; -2013.55
